tmid,SCIENTIFIC_NAME,TPA
1016,Quercus laurifolia,123.10964799999999
340,Pinus taeda,390.6524000000002
564,Liriodendron tulipifera,254.98607
568,Oxydendrum arboreum,186.038836
569,Fagus grandifolia,224.89584000000002
1349,Acer rubrum,449.79168000000004
1707,Quercus nigra,599.72224
1709,Salix nigra,93.019418
1712,Magnolia virginiana,374.82640000000004
1733,Pinus taeda,472.1563160000009
317,Cornus florida,455.80972600000007
1732,Pinus taeda,367.10080600000043
1944,Liriodendron tulipifera,1274.40976
315,Pinus taeda,466.13827000000055
1941,Liquidambar styraciflua,74.96528
1278,Pinus taeda,767.706938
1939,Pinus taeda,498.45663800000057
1348,Pinus taeda,168.50528799999998
588,Magnolia virginiana,1124.4792000000002
791,Pinus taeda,96.28873599999999
587,Quercus laurifolia,1142.5333380000002
586,Quercus laurifolia,483.15122800000006
1012,Quercus nigra,323.933304
1347,Liquidambar styraciflua,461.82777200000004
134,Pinus echinata,317.915258
219,Pinus taeda,1553.9886039999983
1711,Acer rubrum,473.86386400000015
1706,Carya glabra,186.038836
1101,Quercus laurifolia,303.1304380000002
1010,Quercus nigra,224.89584000000002
1735,Quercus nigra,149.93056
320,Liquidambar styraciflua,461.8277720000001
1765,Crataegus,224.89584000000002
129,Halesia carolina,149.93056
225,Pinus taeda,417.47331200000025
1086,Fraxinus pennsylvanica,578.9193740000001
132,Pinus taeda,528.5468680000002
1088,Cornus florida,374.82640000000004
1280,Pinus taeda,360.5621700000002
1763,Quercus nigra,455.80972600000007
1767,Carpinus caroliniana,299.86112
136,Liquidambar styraciflua,605.7402860000001
1089,Pinus taeda,246.73988599999996
1794,Cornus florida,224.89584000000002
1008,Celtis laevigata,24.072184
951,Pinus taeda,297.112392
1804,Quercus falcata,174.002744
4,Quercus nigra,374.82640000000004
280,Pinus taeda,96.28873599999999
663,Liquidambar styraciflua,321.18457600000005
323,Quercus alba,204.092974
1321,Liquidambar styraciflua,111.073556
1335,Pinus echinata,6.018046
212,Liquidambar styraciflua,161.966652
1274,Liquidambar styraciflua,785.7610760000001
1760,Pinus taeda,132.397012
1096,Quercus laurifolia,1349.37504
1761,Liquidambar styraciflua,87.001372
1748,Pinus taeda,475.4256340000009
476,Pinus taeda,1448.9330939999995
994,Liriodendron tulipifera,230.91388600000002
1419,Oxydendrum arboreum,186.038836
974,Carya alba,299.86112
66,Acer rubrum,161.966652
36,Pinus taeda,654.9258340000011
80,Pinus elliottii,228.68574799999996
1234,Ulmus alata,380.84444600000006
2141,Oxydendrum arboreum,192.056882
2012,Liriodendron tulipifera,473.86386400000004
182,Ostrya virginiana,605.7402860000001
1172,Pinus taeda,372.5982620000005
2003,Liquidambar styraciflua,890.8165860000004
1955,Ostrya virginiana,224.89584000000002
1949,Quercus nigra,80.983326
